"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Births
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"October"	"10"			10233
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"November"	"11"	"Female"	"F"	4724
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"November"	"11"	"Male"	"M"	5212
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"November"	"11"			9936
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"December"	"12"	"Female"	"F"	4832
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"December"	"12"	"Male"	"M"	5154
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"	"December"	"12"			9986
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2007"	"2007"					125261
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"January"	"1"	"Female"	"F"	4870
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"January"	"1"	"Male"	"M"	5140
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"January"	"1"			10010
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"February"	"2"	"Female"	"F"	4648
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"February"	"2"	"Male"	"M"	4952
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"February"	"2"			9600
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"March"	"3"	"Female"	"F"	5073
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"March"	"3"	"Male"	"M"	5159
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"March"	"3"			10232
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"April"	"4"	"Female"	"F"	5082
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"April"	"4"	"Male"	"M"	5242
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"April"	"4"			10324
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"May"	"5"	"Female"	"F"	5208
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"May"	"5"	"Male"	"M"	5359
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"May"	"5"			10567
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"June"	"6"	"Female"	"F"	4940
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"June"	"6"	"Male"	"M"	5184
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"June"	"6"			10124
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"July"	"7"	"Female"	"F"	5266
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"July"	"7"	"Male"	"M"	5435
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"July"	"7"			10701
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"August"	"8"	"Female"	"F"	5009
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"August"	"8"	"Male"	"M"	5415
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"August"	"8"			10424
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"September"	"9"	"Female"	"F"	5065
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"September"	"9"	"Male"	"M"	5321
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"September"	"9"			10386
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"October"	"10"	"Female"	"F"	4817
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"October"	"10"	"Male"	"M"	5071
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"October"	"10"			9888
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"November"	"11"	"Female"	"F"	4408
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"November"	"11"	"Male"	"M"	4693
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"November"	"11"			9101
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"December"	"12"	"Female"	"F"	4761
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"December"	"12"	"Male"	"M"	5009
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"	"December"	"12"			9770
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2008"	"2008"					121127
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"January"	"1"	"Female"	"F"	4617
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"January"	"1"	"Male"	"M"	4961
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"January"	"1"			9578
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"February"	"2"	"Female"	"F"	4383
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"February"	"2"	"Male"	"M"	4612
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"February"	"2"			8995
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"March"	"3"	"Female"	"F"	4883
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"March"	"3"	"Male"	"M"	5048
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"March"	"3"			9931
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"April"	"4"	"Female"	"F"	4743
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"April"	"4"	"Male"	"M"	4959
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"April"	"4"			9702
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"May"	"5"	"Female"	"F"	4925
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"May"	"5"	"Male"	"M"	5261
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"May"	"5"			10186
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"June"	"6"	"Female"	"F"	4868
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"June"	"6"	"Male"	"M"	5206
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"June"	"6"			10074
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"July"	"7"	"Female"	"F"	5317
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"July"	"7"	"Male"	"M"	5499
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"July"	"7"			10816
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"August"	"8"	"Female"	"F"	4854
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"August"	"8"	"Male"	"M"	5045
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"August"	"8"			9899
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"September"	"9"	"Female"	"F"	5044
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"September"	"9"	"Male"	"M"	5256
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"September"	"9"			10300
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"October"	"10"	"Female"	"F"	4621
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"October"	"10"	"Male"	"M"	4988
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"October"	"10"			9609
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"November"	"11"	"Female"	"F"	4375
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"November"	"11"	"Male"	"M"	4613
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"November"	"11"			8988
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"December"	"12"	"Female"	"F"	4503
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"December"	"12"	"Male"	"M"	4713
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"	"December"	"12"			9216
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2009"	"2009"					117294
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"January"	"1"	"Female"	"F"	4405
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"January"	"1"	"Male"	"M"	4679
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"January"	"1"			9084
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"February"	"2"	"Female"	"F"	4218
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"February"	"2"	"Male"	"M"	4523
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"February"	"2"			8741
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"March"	"3"	"Female"	"F"	4863
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"March"	"3"	"Male"	"M"	5015
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"March"	"3"			9878
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"April"	"4"	"Female"	"F"	4720
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"April"	"4"	"Male"	"M"	4848
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"April"	"4"			9568
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"May"	"5"	"Female"	"F"	4746
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"May"	"5"	"Male"	"M"	4973
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"May"	"5"			9719
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"June"	"6"	"Female"	"F"	4846
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"June"	"6"	"Male"	"M"	4957
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"June"	"6"			9803
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"July"	"7"	"Female"	"F"	4927
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"July"	"7"	"Male"	"M"	5059
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"July"	"7"			9986
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"August"	"8"	"Female"	"F"	4806
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"August"	"8"	"Male"	"M"	5080
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"August"	"8"			9886
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"September"	"9"	"Female"	"F"	4757
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"September"	"9"	"Male"	"M"	5027
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"September"	"9"			9784
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"October"	"10"	"Female"	"F"	4596
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"October"	"10"	"Male"	"M"	4941
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"October"	"10"			9537
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"November"	"11"	"Female"	"F"	4472
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"November"	"11"	"Male"	"M"	4635
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"November"	"11"			9107
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"December"	"12"	"Female"	"F"	4611
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"December"	"12"	"Male"	"M"	4827
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"	"December"	"12"			9438
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2010"	"2010"					114531
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"January"	"1"	"Female"	"F"	4416
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"January"	"1"	"Male"	"M"	4810
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"January"	"1"			9226
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"February"	"2"	"Female"	"F"	4107
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"February"	"2"	"Male"	"M"	4540
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"February"	"2"			8647
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"March"	"3"	"Female"	"F"	4663
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"March"	"3"	"Male"	"M"	4986
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"March"	"3"			9649
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"April"	"4"	"Female"	"F"	4542
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"April"	"4"	"Male"	"M"	4673
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"April"	"4"			9215
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"May"	"5"	"Female"	"F"	4707
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"May"	"5"	"Male"	"M"	5012
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"May"	"5"			9719
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"June"	"6"	"Female"	"F"	4733
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"June"	"6"	"Male"	"M"	5053
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"June"	"6"			9786
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"July"	"7"	"Female"	"F"	4975
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"July"	"7"	"Male"	"M"	5154
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"July"	"7"			10129
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"August"	"8"	"Female"	"F"	5060
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"August"	"8"	"Male"	"M"	5354
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"August"	"8"			10414
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"September"	"9"	"Female"	"F"	4739
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"September"	"9"	"Male"	"M"	4973
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"September"	"9"			9712
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"October"	"10"	"Female"	"F"	4562
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"October"	"10"	"Male"	"M"	4826
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"October"	"10"			9388
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"November"	"11"	"Female"	"F"	4384
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"November"	"11"	"Male"	"M"	4617
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"November"	"11"			9001
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"December"	"12"	"Female"	"F"	4480
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"December"	"12"	"Male"	"M"	4642
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"	"December"	"12"			9122
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2011"	"2011"					114008
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"January"	"1"	"Female"	"F"	4349
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"January"	"1"	"Male"	"M"	4521
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"January"	"1"			8870
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"February"	"2"	"Female"	"F"	4164
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"February"	"2"	"Male"	"M"	4511
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"February"	"2"			8675
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"March"	"3"	"Female"	"F"	4624
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"March"	"3"	"Male"	"M"	4873
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"March"	"3"			9497
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"April"	"4"	"Female"	"F"	4221
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"April"	"4"	"Male"	"M"	4596
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"April"	"4"			8817
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"May"	"5"	"Female"	"F"	4774
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"May"	"5"	"Male"	"M"	5014
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"May"	"5"			9788
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"June"	"6"	"Female"	"F"	4678
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"June"	"6"	"Male"	"M"	4978
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"June"	"6"			9656
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"July"	"7"	"Female"	"F"	4956
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"July"	"7"	"Male"	"M"	5161
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"July"	"7"			10117
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"August"	"8"	"Female"	"F"	5127
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"August"	"8"	"Male"	"M"	5193
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"August"	"8"			10320
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"September"	"9"	"Female"	"F"	4639
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"September"	"9"	"Male"	"M"	4758
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"September"	"9"			9397
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"October"	"10"	"Female"	"F"	4768
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"October"	"10"	"Male"	"M"	4859
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"October"	"10"			9627
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"November"	"11"	"Female"	"F"	4508
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"November"	"11"	"Male"	"M"	4800
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"November"	"11"			9308
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"December"	"12"	"Female"	"F"	4354
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"December"	"12"	"Male"	"M"	4665
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"	"December"	"12"			9019
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2012"	"2012"					113091
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"January"	"1"	"Female"	"F"	4577
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"January"	"1"	"Male"	"M"	4580
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"January"	"1"			9157
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"February"	"2"	"Female"	"F"	4093
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"February"	"2"	"Male"	"M"	4302
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"February"	"2"			8395
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"March"	"3"	"Female"	"F"	4501
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"March"	"3"	"Male"	"M"	4802
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"March"	"3"			9303
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"April"	"4"	"Female"	"F"	4406
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"April"	"4"	"Male"	"M"	4653
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"April"	"4"			9059
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"May"	"5"	"Female"	"F"	4849
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"May"	"5"	"Male"	"M"	5039
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"May"	"5"			9888
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"June"	"6"	"Female"	"F"	4642
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"June"	"6"	"Male"	"M"	4783
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"June"	"6"			9425
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"July"	"7"	"Female"	"F"	5052
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"July"	"7"	"Male"	"M"	5284
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"July"	"7"			10336
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"August"	"8"	"Female"	"F"	5043
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"August"	"8"	"Male"	"M"	5259
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"August"	"8"			10302
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"September"	"9"	"Female"	"F"	4638
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"September"	"9"	"Male"	"M"	4978
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"September"	"9"			9616
	"Census Region 2: Midwest"	"CENS-R2"	"Michigan"	"26"	"2013"	"2013"	"October"	"10"	"Female"	"F"	4566
